行业,股票代码,股票名称
化肥,000902.SZ,新洋丰
化肥,002170.SZ,芭田股份
化肥,002470.SZ,金正大
化肥,002538.SZ,司尔特
化肥,002539.SZ,云图控股
化肥,002588.SZ,史丹利
化肥,002758.SZ,浙农股份
化肥,002999.SZ,天禾股份
化肥,300387.SZ,富邦科技
化肥,603395.SH,红四方
化肥,920159.BJ,农大科技
钾肥,000792.SZ,盐湖股份
钾肥,000893.SZ,亚钾国际
钾肥,002545.SZ,东方铁塔
农药,000525.SZ,红太阳
农药,000553.SZ,安道麦A
农药,001231.SZ,农心科技
农药,002250.SZ,联化科技
农药,002258.SZ,利尔化学
农药,002391.SZ,长青股份
农药,002496.SZ,*ST辉丰
农药,002513.SZ,蓝丰生化
农药,002734.SZ,利民股份
农药,002749.SZ,国光股份
农药,002942.SZ,新农股份
农药,003042.SZ,中农联合
农药,300261.SZ,雅本化学
农药,300575.SZ,中旗股份
农药,300796.SZ,贝斯美
农药,300804.SZ,广康生化
农药,301035.SZ,润丰股份
农药,301665.SZ,泰禾股份
农药,600389.SH,江山股份
农药,600486.SH,扬农化工
农药,600596.SH,新安股份
农药,600731.SH,湖南海利
农药,603086.SH,先达股份
农药,603360.SH,百傲化学
农药,603585.SZ,苏利股份
农药,603599.SH,广信股份
农药,603639.SH,海利尔
农药,603810.SH,丰山集团
农药,603970.SH,中农立华
农药,605033.SH,美邦股份
农药,920819.BJ,颖泰生物
农药,920866.BJ,绿亨科技
磷肥及磷化工,002312.SZ,川发龙蟒
磷肥及磷化工,002895.SZ,川恒股份
磷肥及磷化工,300505.SZ,川金诺
磷肥及磷化工,600078.SH,澄星股份
磷肥及磷化工,600096.SH,云天化
磷肥及磷化工,600141.SH,兴发集团
磷肥及磷化工,600331.SH,宏达股份
磷肥及磷化工,600470.SH,六国化工
磷肥及磷化工,603077.SH,和邦生物
氮肥,000422.SZ,湖北宜化
氮肥,000731.SZ,四川美丰
氮肥,000912.SZ,泸天化
氮肥,600227.SH,赤天化
氮肥,600426.SH,华鲁恒升
氮肥,600691.SH,潞化科技
炭黑,001207.SZ,联科科技
炭黑,002068.SZ,黑猫股份
炭黑,002442.SZ,龙星科技
炭黑,002753.SZ,永东股份
炭黑,301300.SZ,远翔新材
炭黑,605183.SH,确成股份
染料/纺织化学品,002054.SZ,德美化工
染料/纺织化学品,002440.SZ,闰土股份
染料/纺织化学品,300067.SZ,安诺其
染料/纺织化学品,300107.SZ,建新股份
染料/纺织化学品,300798.SZ,锦鸡股份
染料/纺织化学品,301585.SZ,蓝宇股份
染料/纺织化学品,301618.SZ,长联科技
染料/纺织化学品,600352.SH,浙江龙盛
染料/纺织化学品,603172.SH,万丰股份
染料/纺织化学品,603188.SH,亚邦股份
染料/纺织化学品,603790.SH,雅运股份
染料/纺织化学品,603980.SH,吉华集团
染料/纺织化学品,605566.SH,福莱蒽特
食品和饲料添加剂,002001.SZ,新和成
食品和饲料添加剂,002166.SZ,莱茵生物
食品和饲料添加剂,002562.SZ,兄弟科技
食品和饲料添加剂,002597.SZ,金禾实业
食品和饲料添加剂,300741.SZ,华宝股份
食品和饲料添加剂,300829.SZ,金丹科技
食品和饲料添加剂,300858.SZ,科拓生物
食品和饲料添加剂,301156.SZ,美农生物
食品和饲料添加剂,301206.SZ,三元生物
食品和饲料添加剂,301220.SZ,亚香股份
食品和饲料添加剂,600299.SH,安迪苏
食品和饲料添加剂,600866.SH,星湖科技
食品和饲料添加剂,600873.SH,梅花生物
食品和饲料添加剂,603020.SH,爱普股份
食品和饲料添加剂,603079.SH,圣达生物
食品和饲料添加剂,603235.SH,天新药业
食品和饲料添加剂,603739.SH,蔚蓝生物
食品和饲料添加剂,603968.SH,醋化股份
食品和饲料添加剂,605016.SH,百龙创园
食品和饲料添加剂,605077.SH,华康股份
食品和饲料添加剂,688089.SH,嘉必优
食品和饲料添加剂,688639.SH,华恒生物
食品和饲料添加剂,920016.BJ,中草香料
食品和饲料添加剂,920422.BJ,润普食品
